input_data - [988.07,147.63,23.32,40.21,919.25]



mainly the model returned only the locations but for conformation i took the data too...
 
all the locations and data(for test) -
13.030071,77.590911,988.07,147.63,23.32,40.21,919.25,6.45,58.07,2,8930.86,9,1
12.879481,77.593961,990.21,148.7,22.35,47.9,920.11,5.77,99.46,8,15479.7,9,1
12.981174,77.529944,935.67,143.08,25.48,42.13,910.51,9.37,75.25,8,20373.81,10,1
12.877496,77.543553,805.25,146.44,20.25,51.27,917.3,1.39,38.81,1,10588.31,3,1
13.047998,77.554713,899.55,140.55,23.3,46.03,926.61,0.21,77.83,10,3636.49,10,1
13.040785,77.573887,958.84,136.75,24.53,41.79,924.02,5.83,18.15,7,6767.49,1,0	
12.863804,77.58283,808.14,139.95,31.15,45.58,918.06,5.27,6.2,1,19623.39,10,1
13.06099,77.558323,805.39,141.94,27.35,47.38,911.81,8.28,85.85,2,22496.7,3,1
12.808168,77.584268,883.67,138.88,26.79,44.3,926.37,1.46,77.23,2,13085.65,5,0
13.009406,77.579816,990.01,148.03,27.94,48.23,910.84,4.3,40.68,3,24448.62,3,1
12.861971,77.534776,848.36,140.52,20.95,46.49,910.07,3.83,51.59,10,25908.3,9,0
12.989373,77.664867,883.38,145.47,23.9,49.7,928.53,3.69,76.72,6,5245.55,5,0
13.075443,77.567916,948.28,134.44,24.62,45.67,925.81,6.79,33.83,4,16431.62,7,1
12.854853,77.52334,958.51,146.57,21.38,53.89,927.18,6.58,74.49,8,5683.51,7,1
12.892411,77.557073,828.15,147.84,32.75,42.43,932.21,0.93,25.51,9,8539.31,9,1
12.838129,77.56898,921.08,136.32,28.77,46.04,928.06,1.22,27.56,1,28511.39,10,0
12.963229,77.689512,935.38,137.5,28.86,40.32,907.43,9.02,7.16,6,14051.82,1,0
13.0418,77.633845,818.46,147.55,27.1,50.29,931.82,8.84,67.4,8,9311.77,4,1
12.875156,77.518148,872.8,138.62,22.35,52.57,926.25,7.24,63.33,9,11526.28,6,1
12.928148,77.665033,871.71,149.37,31.82,51.29,928.6,7.89,69.39,10,9937.52,2,0
